priority,config,arch,expected,actual,section,in_kconfig,kconfig_file
P1-missing,CONFIG_ARM_SMMU_DISABLE_BYPASS_BY_DEFAULT,aarch64,y,n,default,yes,drivers/iommu/arm/Kconfig
P1-missing,CONFIG_ARM_SMMU_QCOM_DEBUG,aarch64,y,n,default,yes,drivers/iommu/arm/Kconfig
P1-missing,CONFIG_BLK_CGROUP_IOLATENCY,aarch64,y,n,default,yes,block/Kconfig
P1-missing,CONFIG_BLK_CGROUP_IOLATENCY,x86_64,y,n,default,yes,block/Kconfig
P1-missing,CONFIG_CRYPTO_ARC4,aarch64,m,n,default,yes,crypto/Kconfig
P1-missing,CONFIG_CRYPTO_ARC4,x86_64,m,n,default,yes,crypto/Kconfig
P1-missing,CONFIG_DEFAULT_SECURITY_SELINUX,aarch64,y,n,default,yes,security/Kconfig
P1-missing,CONFIG_DEFAULT_SECURITY_SELINUX,x86_64,y,n,default,yes,security/Kconfig
P1-missing,CONFIG_DMI_SYSFS,x86_64,m,n,default,yes,drivers/firmware/Kconfig
P1-missing,CONFIG_DRM_VGEM,x86_64,m,n,default,yes,drivers/gpu/drm/Kconfig
P1-missing,CONFIG_DXGKRNL,aarch64,m,n,default,no,
P1-missing,CONFIG_DXGKRNL,x86_64,m,n,default,no,
P1-missing,CONFIG_FW_CFG_SYSFS,x86_64,m,n,override(kernel),yes,drivers/firmware/Kconfig
P1-missing,CONFIG_HSA_AMD,x86_64,y,n,default,yes,drivers/gpu/drm/amd/amdkfd/Kconfig
P1-missing,CONFIG_HSA_AMD_P2P,x86_64,y,n,default,yes,drivers/gpu/drm/amd/amdkfd/Kconfig
P1-missing,CONFIG_HSA_AMD_SVM,x86_64,y,n,default,yes,drivers/gpu/drm/amd/amdkfd/Kconfig
P1-missing,CONFIG_INFINIBAND_BNXT_RE,x86_64,m,n,default,yes,drivers/infiniband/hw/bnxt_re/Kconfig
P1-missing,CONFIG_IO_STRICT_DEVMEM,x86_64,y,n,default,yes,lib/Kconfig.debug
P1-missing,CONFIG_IP_VS_DEBUG,aarch64,y,n,default,yes,net/netfilter/ipvs/Kconfig
P1-missing,CONFIG_IP_VS_DEBUG,x86_64,y,n,default,yes,net/netfilter/ipvs/Kconfig
P1-missing,CONFIG_LOCK_DOWN_IN_EFI_SECURE_BOOT,aarch64,y,n,default,no,
P1-missing,CONFIG_LOCK_DOWN_IN_EFI_SECURE_BOOT,x86_64,y,n,default,no,
P1-missing,CONFIG_NF_CONNTRACK_PROCFS,x86_64,y,n,default,yes,net/netfilter/Kconfig
P1-missing,CONFIG_TCP_CONG_BBR3,aarch64,m,n,override(kernel),no,
P1-missing,CONFIG_TCP_CONG_BBR3,x86_64,m,n,override(kernel),no,
P1-missing,CONFIG_TRANSPARENT_HUGEPAGE_MADVISE,x86_64,y,n,default,yes,mm/Kconfig
P1-missing,CONFIG_USB_HIDDEV,x86_64,y,n,default,yes,drivers/hid/usbhid/Kconfig
P1-missing,CONFIG_USB_SERIAL_CH341,x86_64,m,n,default,yes,drivers/usb/serial/Kconfig
P1-missing,CONFIG_USB_TMC,x86_64,m,n,default,yes,drivers/usb/class/Kconfig
P1-missing,CONFIG_X86_KERNEL_IBT,x86_64,y,n,default,yes,arch/x86/Kconfig
P2-should-be-disabled,CONFIG_DMABUF_MOVE_NOTIFY,aarch64,n,y,default,yes,drivers/dma-buf/Kconfig
P2-should-be-disabled,CONFIG_FPGA_DFL_AFU,aarch64,n,m,default,yes,drivers/fpga/Kconfig
P2-should-be-disabled,CONFIG_HSA_AMD_SVM,aarch64,n,y,override(kernel),yes,drivers/gpu/drm/amd/amdkfd/Kconfig
P2-should-be-disabled,CONFIG_KEXEC,aarch64,n,y,default,no,
P2-should-be-disabled,CONFIG_KEXEC,x86_64,n,y,default,no,
P2-should-be-disabled,CONFIG_MCTP,aarch64,n,y,default,yes,net/mctp/Kconfig
P2-should-be-disabled,CONFIG_MCTP,x86_64,n,y,default,yes,net/mctp/Kconfig
P2-should-be-disabled,CONFIG_NFT_DUP_NETDEV,aarch64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NFT_DUP_NETDEV,x86_64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NFT_FWD_NETDEV,aarch64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NFT_FWD_NETDEV,x86_64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NFT_REJECT_NETDEV,aarch64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NFT_REJECT_NETDEV,x86_64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NF_CT_NETLINK_HELPER,aarch64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NF_CT_NETLINK_HELPER,x86_64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NF_DUP_NETDEV,aarch64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_NF_DUP_NETDEV,x86_64,n,m,default,yes,net/netfilter/Kconfig
P2-should-be-disabled,CONFIG_PATA_LEGACY,aarch64,n,m,default,yes,drivers/ata/Kconfig
P2-should-be-disabled,CONFIG_PCI_P2PDMA,aarch64,n,y,default,yes,drivers/pci/Kconfig
P2-should-be-disabled,CONFIG_PHY_RTK_RTD_USB2PHY,aarch64,n,m,default,yes,drivers/phy/realtek/Kconfig
P2-should-be-disabled,CONFIG_PHY_RTK_RTD_USB3PHY,aarch64,n,m,default,yes,drivers/phy/realtek/Kconfig
P2-should-be-disabled,CONFIG_ROSE,aarch64,n,m,default,yes,net/ax25/Kconfig
P2-should-be-disabled,CONFIG_ROSE,x86_64,n,m,default,yes,net/ax25/Kconfig
P2-should-be-disabled,CONFIG_SECURITY_SMACK,aarch64,n,y,default,yes,security/smack/Kconfig
P2-should-be-disabled,CONFIG_SECURITY_SMACK,x86_64,n,y,default,yes,security/smack/Kconfig
P2-should-be-disabled,CONFIG_SENSORS_MLXREG_FAN,aarch64,n,m,default,yes,drivers/hwmon/Kconfig
P2-should-be-disabled,CONFIG_SMB_SERVER,aarch64,n,m,default,yes,fs/smb/server/Kconfig
P2-should-be-disabled,CONFIG_SMB_SERVER,x86_64,n,m,default,yes,fs/smb/server/Kconfig
P2-should-be-disabled,CONFIG_XFS_SUPPORT_V4,aarch64,n,y,default,yes,fs/xfs/Kconfig
P2-should-be-disabled,CONFIG_XFS_SUPPORT_V4,x86_64,n,y,default,yes,fs/xfs/Kconfig
P2-should-be-disabled,CONFIG_ZONE_DMA,x86_64,n,y,default,yes,mm/Kconfig
P3-module-vs-builtin,CONFIG_CRYPTO_DH,aarch64,m,y,default,yes,crypto/Kconfig
P3-module-vs-builtin,CONFIG_CRYPTO_DH,x86_64,m,y,default,yes,crypto/Kconfig
P3-module-vs-builtin,CONFIG_CRYPTO_ECDSA,aarch64,y,m,default,yes,crypto/Kconfig
P3-module-vs-builtin,CONFIG_CRYPTO_ECDSA,x86_64,y,m,default,yes,crypto/Kconfig
P3-module-vs-builtin,CONFIG_DRM,aarch64,m,y,default,yes,drivers/gpu/drm/Kconfig
P3-module-vs-builtin,CONFIG_DRM,x86_64,m,y,default,yes,drivers/gpu/drm/Kconfig
P3-module-vs-builtin,CONFIG_DRM_KMS_HELPER,aarch64,m,y,default,yes,drivers/gpu/drm/Kconfig
P3-module-vs-builtin,CONFIG_DRM_KMS_HELPER,x86_64,m,y,default,yes,drivers/gpu/drm/Kconfig
P3-module-vs-builtin,CONFIG_GPIO_MLXBF2,aarch64,y,m,default,yes,drivers/gpio/Kconfig
P3-module-vs-builtin,CONFIG_ISO9660_FS,x86_64,y,m,default,yes,fs/isofs/Kconfig
P3-module-vs-builtin,CONFIG_MMC_DW,aarch64,y,m,default,yes,drivers/mmc/host/Kconfig
P3-module-vs-builtin,CONFIG_MMC_DW_PLTFM,aarch64,y,m,default,yes,drivers/mmc/host/Kconfig
P3-module-vs-builtin,CONFIG_SEV_GUEST,x86_64,y,m,default,yes,drivers/virt/coco/sev-guest/Kconfig
P3-module-vs-builtin,CONFIG_TDX_GUEST_DRIVER,x86_64,m,y,default,yes,drivers/virt/coco/tdx-guest/Kconfig
P3-module-vs-builtin,CONFIG_TUN,aarch64,m,y,default,yes,drivers/net/Kconfig
P3-module-vs-builtin,CONFIG_TUN,x86_64,m,y,default,yes,drivers/net/Kconfig
P3-module-vs-builtin,CONFIG_VIRTIO_CONSOLE,aarch64,m,y,default,yes,drivers/char/Kconfig
